requestType,userLoginEmail,password,scenario,Firstname,Lastname,ContactNumber,DateOfBirth,Email,HospitalName,HospitalStreet,HospitalCity,HospitalPincode,Education,Allergy,FoodPreference,CuisineCategory,Weight,Height,Temperature,SP,DP,morbidityTestName
getAllMorbiditiesByDieticianToken,,,,,,,,,,,,,,,,,,,,,,
getAllMorbiditiesByInvalidToken,,,,,,,,,,,,,,,,,,,,,,
getMorbidityByTestNameWithAdminToken,,,,,,,,,,,,,,,,,,,,,,Fasting Glucose
getMorbidityByTestNameWithAdminToken,,,,,,,,,,,,,,,,,,,,,,Average Glucose
getMorbidityByTestNameWithAdminToken,,,,,,,,,,,,,,,,,,,,,,Plasma Glucose
getMorbidityByTestNameWithAdminToken,,,,,,,,,,,,,,,,,,,,,,HbA1c
getMorbidityByTestNameWithAdminToken,,,,,,,,,,,,,,,,,,,,,,TSH
getMorbidityByTestNameWithAdminToken,,,,,,,,,,,,,,,,,,,,,,T4
getMorbidityByTestNameWithAdminToken,,,,,,,,,,,,,,,,,,,,,,T3
getMorbidityByTestNameWithAdminToken,,,,,,,,,,,,,,,,,,,,,,Blood Pressure Levels
getMorbidityByTestNameWithAdminToken,,,,,,,,,,,,,,,,,,,,,,JUNKIE
getMorbidityByTestNameWithDieticianToken,,,,,,,,,,,,,,,,,,,,,,Fasting Glucose
getMorbidityByTestNameWithDieticianToken,,,,,,,,,,,,,,,,,,,,,,Average Glucose
getMorbidityByTestNameWithDieticianToken,,,,,,,,,,,,,,,,,,,,,,Plasma Glucose
getMorbidityByTestNameWithDieticianToken,,,,,,,,,,,,,,,,,,,,,,HbA1c
getMorbidityByTestNameWithDieticianToken,,,,,,,,,,,,,,,,,,,,,,TSH
getMorbidityByTestNameWithDieticianToken,,,,,,,,,,,,,,,,,,,,,,T4
getMorbidityByTestNameWithDieticianToken,,,,,,,,,,,,,,,,,,,,,,T3
getMorbidityByTestNameWithDieticianToken,,,,,,,,,,,,,,,,,,,,,,Blood Pressure Levels
getMorbidityByTestNameWithDieticianToken,,,,,,,,,,,,,,,,,,,,,,HELLO
getMorbidityByTestNameWithInvalidToken,,,,,,,,,,,,,,,,,,,,,,
createAdmin,aughack,test,invalid login with incorrect username,,,,,,,,,,,,,,,,,,,
createAdmin,,test,invalid login with empty username,,,,,,,,,,,,,,,,,,,
createAdmin,augHackathon@gmail.com,,invalid login with incorrect password,,,,,,,,,,,,,,,,,,,
createAdmin, , ,invalid login with empty UN and password,,,,,,,,,,,,,,,,,,,
updatePatient,,,,teamfoutrpatientupdated,teamfourpatientlastupdated,6339189180,1922-12-02,teamfour2002@aol.com,,,,,,PEANUT,Vegetarian,Indian,65.5,5.4,24,90,60,
updateDietician,,,,Updatedfirstname,Updatedlastname,6282539102,1993-07-13,teamfour2043@aollzw.com,teamfourhospitals,334street,bangalores,991221,Medicine,,,,,,,,,
GetAllDietician,,,GetAllDieticians,,,,,,,,,,,,,,,,,,,
GetDieticianID,,,,,,,,,,,,,,,,,,,,,,
